Country,ProportionResistant
United States,0.31
Mexico,0.62
Venezuela,0.5
Brazil,0.49
Peru,0.57
Chile,0.29
Argentina,0.34
Russia,0.55
Iceland,0.14
Norway,0.1
Finland,0.1
Germany,0.15
Spain,0.27
Portugal,0.22
Italy,0.32
Belarus,0.42
Poland,0.33
Latvia,0.21
Netherlands,0.13
Belgium,0.19
Bosnia and Herzegovina,0.35
Luxembourg,0.21
Lithuania,0.18
Ukraine,0.43
Czech Republic,0.2
Austria,0.15
Hungary,0.28
Switzerland,0.15
France,0.15
Slovakia,0.3
Estonia,0.13
Sweden,0.14
Croatia,0.29
Slovenia,0.17
Macedonia,0.58
Serbia,0.45
Romania,0.25
Bulgaria,0.33
Turkey,0.51
Greece,0.34
Cyprus,0.52
Lebanon,0.52
Iraq,0.55
Jordan,0.53
Egypt,0.47
Iran,0.65
Sudan,0.31
Mali,0.44
Ghana,0.59
Liberia,0.48
Nigeria,0.87
Ethiopia,0.54
Kenya,0.58
Zambia,0.58
Zimbabwe,0.7
Malawi,0.6
Madagascar,0.51
South Africa,0.29
Saudi Arabia,0.48
Quatar,0.72
Kuwait,0.49
Jordan,0.53
Georgia,0.21
United Arab Emirates,0.38
Oman,0.5
Pakistan,0.73
India,0.71
China,0.56
Nepal,0.46
Bhutan,0.42
Bhangladish,0.97
Myanmar,0.62
Vietnam,0.66
Laos,0.3
Thailand,0.47
Cambodia,0.68
Malaysia,0.25
Indonesia,0.66
Taiwan,0.53
Korea,0.41
Japan,0.29
Philipines,0.42
Singapore,0.38
Australia,0.16
New Zealand,0.1
