Country,antimicrobial_mg_per_population
Afghanistan,67.54881
Albania,98.16476
Algeria,32.77327
Angola,21.04996
Antigua and Barbuda,416.2051
Argentina,63.10585
Armenia,83.97434
Australia,165.0609
Austria,17.48986
Azerbaijan,94.63444
Bahamas,49.14106
Bahrain,87.99928
Bangladesh,93.60142
Barbados,65.5506
Belarus,69.55221
Belgium,40.13702
Belize,53.91637
Benin,20.84255
Bhutan,109.8058
Bolivia,65.82179
Bosnia and Herzegovina,68.36832
Botswana,20.60346
Brazil,56.25517
Brunei,57.93007
Bulgaria,74.94107
Burkina Faso,22.77397
Burundi,19.86454
Cambodia,123.3987
Cameroon,31.4994
Canada,60.20312
Cape Verde,48.2116
Central African Republic,20.95825
Chad,27.87495
Chile,119.1085
China,208.4677
Colombia,55.51907
Comoros,72.72638
Congo,19.53925
Cook Islands,26759.34
Costa Rica,64.80021
Cote d'Ivoire,17.89455
Croatia,35.79841
Cuba,70.6292
Cyprus,234.6739
Czechia,25.41189
Democratic Republic of Congo,20.78166
Denmark,20.45157
Djibouti,27.14289
Dominica,139.1235
Dominican Republic,49.51277
East Timor,12.87329
Ecuador,61.98479
Egypt,14.74742
El Salvador,45.82882
Equatorial Guinea,253.9807
Eritrea,25.11639
Estonia,23.34837
Eswatini,19.69211
Ethiopia,22.08885
Faroe Islands,313.0092
Fiji,77.76166
Finland,7.416708
France,22.00374
French Polynesia,439.1657
Gabon,30.53426
Gambia,20.50713
Georgia,82.61754
Germany,36.39595
Ghana,23.15382
Greece,78.13855
Grenada,220.3327
Guatemala,60.38946
Guinea,19.6228
Guinea-Bissau,21.50063
Guyana,46.20012
Haiti,61.2176
Honduras,46.59542
Hong Kong,72.16804
Hungary,62.03732
Iceland,9.830115
India,114.2534
Indonesia,87.04435
Iran,145.3703
Iraq,56.0852
Ireland,20.45518
Israel,51.04705
Italy,72.59271
Jamaica,46.42536
Japan,62.79357
Jordan,41.05746
Kazakhstan,88.82079
Kenya,25.19668
Kuwait,51.57773
Kyrgyzstan,107.8798
Laos,107.5831
Latvia,16.15828
Lebanon,29.44482
Lesotho,27.8202
Liberia,12.84324
Libya,27.61976
Lithuania,8.52686
Luxembourg,12.26203
Madagascar,21.19254
Malawi,16.09653
Malaysia,90.55596
Mali,25.48002
Malta,57.22128
Mauritania,35.61663
Mauritius,10.65216
Mexico,70.67738
Micronesia (country),143.532
Moldova,51.53367
Mongolia,252.7873
Montenegro,90.20159
Morocco,20.16377
Mozambique,14.44418
Myanmar,91.84039
Namibia,22.40118
Nepal,102.8166
Netherlands,20.83366
New Caledonia,109.6712
New Zealand,9.997013
Nicaragua,49.12637
Niger,24.47315
Nigeria,24.62592
Niue,5347.229
North Korea,83.74474
North Macedonia,111.3654
Norway,4.339035
Oman,75.25929
Pakistan,101.1734
Palestine,94.70892
Panama,54.56314
Papua New Guinea,141.5578
Paraguay,54.19864
Peru,64.92041
Philippines,116.3298
Poland,68.81839
Portugal,87.356
Puerto Rico,50.39188
Qatar,53.69376
Romania,59.42219
Russia,75.59826
Rwanda,20.63861
Saint Kitts and Nevis,368.5401
Saint Lucia,110.9345
Saint Vincent and the Grenadines,239.5675
Samoa,51.45422
Sao Tome and Principe,164.7467
Saudi Arabia,42.53524
Senegal,19.64031
Serbia,52.55658
Seychelles,9496.926
Sierra Leone,17.48354
Singapore,64.36674
Slovakia,21.54904
Slovenia,12.80332
Solomon Islands,118.342
Somalia,30.64287
South Africa,22.21957
South Korea,121.5339
South Sudan,23.85392
Spain,78.77776
Sri Lanka,75.82385
Sudan (former),27.02198
Suriname,51.81121
Sweden,5.42308
Switzerland,19.72536
Syria,88.99445
Taiwan,111.919
Tajikistan,89.30186
Tanzania,21.61365
Thailand,337.7773
Togo,17.36265
Tonga,147.6218
Trinidad and Tobago,40.5739
Tunisia,22.305
Turkey,68.7383
Turkmenistan,115.282
Uganda,20.96775
Ukraine,57.90405
United Arab Emirates,52.43877
United Kingdom,15.60899
United States,30.60352
Uruguay,73.39216
Uzbekistan,83.21526
Vanuatu,99.78377
Venezuela,54.22483
Vietnam,124.1683
Yemen,52.33308
Zambia,18.67087
Zimbabwe,21.34658
