Country,kilograms_eggs_per_year_per_capita
Afghanistan,0.699351
Africa,2.204571
Africa (FAO),2.24
Albania,15.18858
Algeria,6.200712
Americas (FAO),14.27
Angola,1.787687
Antigua and Barbuda,10.50182
Argentina,15.86571
Armenia,13.96565
Asia,11.62635
Asia (FAO),11.65
Australia,7.08362
Austria,14.76347
Azerbaijan,9.950293
Bahamas,13.22104
Bahrain,12.78815
Bangladesh,3.618075
Barbados,9.825788
Belarus,13.41905
Belgium,19.33341
Belize,4.558446
Benin,0.921924
Bhutan,5.190215
Bolivia,6.720796
Bosnia and Herzegovina,6.00333
Botswana,1.509254
Brazil,13.05356
Bulgaria,5.13674
Burkina Faso,1.067757
Burundi,0.135465
Cambodia,1.09175
Cameroon,1.697131
Canada,15.58132
Cape Verde,5.751758
Caribbean (FAO),7.95
Central African Republic,0.722284
Central America (FAO),17.86
Central Asia (FAO),9.59
Chad,0.201671
Chile,9.785307
China,21.82083
China (FAO),21.72
Colombia,12.17193
Comoros,1.22377
Congo,0.207749
Costa Rica,14.08941
Cote d'Ivoire,1.954885
Croatia,8.654839
Cuba,8.708344
Cyprus,7.012381
Czechia,8.081969
Democratic Republic of Congo,0.077354
Denmark,14.72833
Djibouti,1.793991
Dominica,9.085699
Dominican Republic,16.34721
East Timor,2.321539
Eastern Africa (FAO),0.98
Eastern Asia (FAO),21
Eastern Europe (FAO),13.82
Ecuador,7.877502
Egypt,4.03087
El Salvador,8.929018
Estonia,12.71949
Eswatini,1.656224
Ethiopia,0.324725
Europe,13.77578
Europe (FAO),13.86
European Union (27),13.53832
European Union (27) (FAO),13.59
Fiji,5.895577
Finland,9.898994
France,13.37827
French Polynesia,13.09715
Gabon,0.805912
Gambia,3.930987
Georgia,10.923
Germany,15.57616
Ghana,1.080546
Greece,9.444979
Grenada,20.41533
Guatemala,12.18729
Guinea,1.962278
Guinea-Bissau,1.25002
Guyana,1.407538
Haiti,0.382689
High-income countries,14.56953
Honduras,4.018053
Hong Kong,24.12392
Hungary,13.7813
Iceland,9.587983
India,4.633029
Indonesia,19.28694
Iran,8.86255
Iraq,2.372846
Ireland,13.14262
Israel,12.29183
Italy,12.18
Jamaica,3.515365
Japan,19.75332
Jordan,4.381492
Kazakhstan,7.542468
Kenya,1.125314
Kiribati,2.946819
Kuwait,16.87266
Kyrgyzstan,5.614652
Land Locked Developing Countries (FAO),2.64
Laos,2.061914
Latvia,10.64509
Least Developed Countries (FAO),1.45
Lebanon,7.224733
Lesotho,0.56483
Liberia,2.121745
Libya,8.84572
Lithuania,14.72201
Low Income Food Deficit Countries (FAO),1.57
Low-income countries,0.703721
Lower-middle-income countries,4.036836
Luxembourg,20.30082
Macao,20.36086
Madagascar,0.505896
Malawi,0.912691
Malaysia,15.70947
Maldives,20.69712
Mali,0.489619
Malta,12.95378
Marshall Islands,11.59158
Mauritania,1.466795
Mauritius,8.543424
Mexico,21.33444
Micronesia (FAO),5.57
Micronesia (country),5.274061
Middle Africa (FAO),0.66
Moldova,10.1069
Mongolia,6.593973
Montenegro,14.83404
Morocco,8.148039
Mozambique,0.494701
Myanmar,1.985484
Namibia,0.986058
Nauru,14.37312
Nepal,1.963487
Net Food Importing Developing Countries (FAO),2.64
Netherlands,32.45106
New Caledonia,10.17896
New Zealand,10.24583
Nicaragua,4.738482
Niger,0.238142
Nigeria,2.663812
North America,15.84188
North Macedonia,6.746444
Northern Africa (FAO),4.82
Northern America (FAO),15.88
Northern Europe (FAO),10.56
Norway,12.29913
Oceania,5.780347
Oceania (FAO),5.79
Oman,11.86105
Pakistan,3.7159
Panama,7.823857
Papua New Guinea,0.447329
Paraguay,17.78318
Peru,11.21918
Philippines,5.647939
Poland,5.575844
Portugal,11.71325
Qatar,19.05475
Romania,13.37507
Russia,16.66023
Rwanda,0.302762
Saint Kitts and Nevis,4.895423
Saint Lucia,5.60321
Saint Vincent and the Grenadines,5.387857
Samoa,1.642523
Sao Tome and Principe,0.713347
Saudi Arabia,10.6368
Senegal,3.561178
Serbia,13.33428
Seychelles,10.23994
Sierra Leone,1.455635
Slovakia,9.867697
Slovenia,8.739005
Small Island Developing States (FAO),6.07
Solomon Islands,0.834546
Somalia,0.316326
South Africa,6.855614
South America,12.15243
South America (FAO),11.98
South Korea,12.6081
South Sudan,0
South-eastern Asia (FAO),11.75
Southern Africa (FAO),6.38
Southern Asia (FAO),4.53
Southern Europe (FAO),12.59
Spain,14.80602
Sri Lanka,3.719166
Sudan,1.19598
Suriname,5.90099
Sweden,13.38871
Switzerland,12.61537
Syria,3.821802
Taiwan,16.31314
Tajikistan,3.929416
Tanzania,2.591091
Thailand,11.82369
Togo,2.190335
Tonga,3.336419
Trinidad and Tobago,5.066238
Tunisia,7.095983
Turkey,9.80275
Turkmenistan,11.39363
Tuvalu,9.330864
Uganda,0.788946
Ukraine,15.562
United Arab Emirates,11.27358
United Kingdom,9.139245
United States,15.74897
Upper-middle-income countries,17.58169
Uruguay,14.64641
Uzbekistan,12.20032
Vanuatu,2.577917
Venezuela,5.998797
Vietnam,3.713503
Western Africa (FAO),2.1
Western Asia (FAO),7.63
Western Europe (FAO),16.68
World,10.38277
Yemen,1.49869
Zambia,2.781207
Zimbabwe,1.117215
