Country,kilograms_milk_per_year_per_capita
Afghanistan,37.9778
Africa,36.93647
Africa (FAO),37.47
Albania,299.4392
Algeria,150.1204
Americas (FAO),159.8
Angola,9.837275
Antigua and Barbuda,96.43494
Argentina,173.3
Armenia,232.6482
Asia,60.30673
Asia (FAO),60.42
Australia,212.9982
Austria,209.2823
Azerbaijan,157.4239
Bahamas,110.5431
Bahrain,226.116
Bangladesh,71.25991
Barbados,101.45
Belarus,121.5822
Belgium,184.0729
Belize,132.6377
Benin,10.58757
Bhutan,67.44273
Bolivia,39.15066
Bosnia and Herzegovina,187.1122
Botswana,100.9583
Brazil,151.063
Bulgaria,167.4557
Burkina Faso,20.26724
Burundi,5.360539
Cambodia,8.119893
Cameroon,13.05174
Canada,163.5197
Cape Verde,96.17075
Caribbean (FAO),69.23
Central African Republic,14.83966
Central America (FAO),117.85
Central Asia (FAO),229.23
Chad,23.11529
Chile,92.028
China,31.73575
China (FAO),32.32
Colombia,119.3731
Comoros,15.73849
Congo,6.974435
Costa Rica,174.1296
Cote d'Ivoire,7.356298
Croatia,179.7916
Cuba,78.60826
Cyprus,168.1186
Czechia,165.0413
Democratic Republic of Congo,43.07652
Denmark,394.2966
Djibouti,42.91778
Dominica,114.9803
Dominican Republic,112.7708
East Timor,13.88026
Eastern Africa (FAO),38.21
Eastern Asia (FAO),34.48
Eastern Europe (FAO),161.85
Ecuador,109.2852
Egypt,52.37174
El Salvador,238.7529
Estonia,318.606
Eswatini,48.15864
Ethiopia,30.88821
Europe,198.4011
Europe (FAO),199.49
European Union (27),216.8846
European Union (27) (FAO),217.76
Fiji,49.77364
Finland,256.1402
France,251.0864
French Polynesia,128.1533
Gabon,21.9955
Gambia,22.1798
Georgia,179.8298
Germany,208.4488
Ghana,8.119243
Greece,231.5167
Grenada,135.8376
Guatemala,46.16974
Guinea,17.96618
Guinea-Bissau,17.97028
Guyana,121.6979
Haiti,7.04953
High-income countries,179.2605
Honduras,67.34975
Hong Kong,66.04235
Hungary,177.3042
Iceland,193.4557
India,81.32656
Indonesia,17.54795
Iran,25.31168
Iraq,17.65778
Ireland,304.9443
Israel,179.6811
Italy,227.9344
Jamaica,101.4178
Japan,61.62997
Jordan,65.74244
Kazakhstan,274.7434
Kenya,81.53052
Kiribati,18.07315
Kuwait,139.3715
Kyrgyzstan,192.1088
Land Locked Developing Countries (FAO),65.58
Laos,7.291407
Latvia,215.6172
Least Developed Countries (FAO),38.07
Lebanon,109.4891
Lesotho,95.38568
Liberia,2.930968
Libya,140.6734
Lithuania,254.1011
Low Income Food Deficit Countries (FAO),47.63
Low-income countries,37.86537
Lower-middle-income countries,65.73432
Luxembourg,228.513
Macao,35.77708
Madagascar,16.44162
Malawi,10.67452
Malaysia,41.5626
Maldives,117.277
Mali,39.77662
Malta,284.1351
Marshall Islands,43.35954
Mauritania,105.0361
Mauritius,144.8411
Mexico,124.2791
Micronesia (FAO),20.21
Micronesia (country),8.847797
Middle Africa (FAO),29.44
Moldova,90.98945
Mongolia,241.7088
Montenegro,402.5595
Morocco,34.64924
Mozambique,2.241297
Myanmar,8.214057
Namibia,56.34746
Nauru,94.75973
Nepal,41.61359
Net Food Importing Developing Countries (FAO),54.92
Netherlands,264.072
New Caledonia,133.4575
New Zealand,128.4467
Nicaragua,138.4793
Niger,34.26133
Nigeria,4.808572
North America,180.3117
North Macedonia,162.711
Northern Africa (FAO),79.01
Northern America (FAO),223.66
Northern Europe (FAO),229.66
Norway,174.4983
Oceania,144.4177
Oceania (FAO),144.43
Oman,235.8181
Pakistan,110.6158
Panama,49.8583
Papua New Guinea,6.660235
Paraguay,66.07761
Peru,83.6302
Philippines,29.75055
Poland,198.1657
Portugal,181.23
Qatar,109.7722
Romania,222.8425
Russia,151.5723
Rwanda,12.73618
Saint Kitts and Nevis,28.14868
Saint Lucia,58.58724
Saint Vincent and the Grenadines,119.6023
Samoa,38.83172
Sao Tome and Principe,13.73445
Saudi Arabia,70.91579
Senegal,16.88371
Serbia,205.299
Seychelles,103.7989
Sierra Leone,7.205391
Slovakia,185.5581
Slovenia,192.5688
Small Island Developing States (FAO),56.96
Solomon Islands,8.058005
Somalia,100.6312
South Africa,49.97685
South America,132.0405
South America (FAO),130.13
South Korea,31.37016
South Sudan,197.5052
South-eastern Asia (FAO),23.86
Southern Africa (FAO),55.44
Southern Asia (FAO),80.27
Southern Europe (FAO),205.65
Spain,173.5954
Sri Lanka,44.64912
Sudan,85.48409
Suriname,36.12993
Sweden,216.0904
Switzerland,303.9418
Syria,76.08144
Taiwan,59.15171
Tajikistan,92.42925
Tanzania,35.7186
Thailand,28.80462
Togo,5.042636
Tonga,53.77941
Trinidad and Tobago,76.29039
Tunisia,102.0863
Turkey,189.6048
Turkmenistan,114.1408
Tuvalu,23.13512
Uganda,29.87009
Ukraine,141.8666
United Arab Emirates,120.5803
United Kingdom,208.9055
United States,228.1323
Upper-middle-income countries,63.48568
Uruguay,226.56
Uzbekistan,259.1106
Vanuatu,21.98013
Venezuela,93.24217
Vietnam,36.65238
Western Africa (FAO),12.31
Western Asia (FAO),112.39
Western Europe (FAO),234.01
World,81.89314
Yemen,23.07982
Zambia,7.280802
Zimbabwe,27.94053
